ㄅ b
ㄒㄧㄤˊ xiang2
ㄒㄧㄤˋ xiang4
ㄒㄧㄥ xing
ㄒㄧㄥˇ xing3
ㄒㄧㄥˊ xing2
ㄒㄧㄥˋ xing4
ㄒㄨㄢˊ xuan2
ㄒㄩ xu
ㄒㄩˇ xu3
ㄒㄩˊ xu2
ㄒㄩˋ xu4
ㄒㄩㄝ xue
ㄒㄩㄝˇ xue3
ㄒㄩㄝˊ xue2
ㄒㄩㄝˋ xue4
ㄒㄩㄢ xuan
ㄒㄩㄢˇ xuan3
ㄒㄩㄢˊ xuan2
ㄒㄩㄢˋ xuan4
ㄒㄩㄣ xun
ㄒㄩㄣˇ xun3
ㄒㄩㄣˊ xun2
ㄒㄩㄣˋ xun4
ㄒㄩㄥ xiong
ㄒㄩㄥˇ xiong3
