ˇ 
ˊ 
ˋ 
˙ 
ㄅ b
ㄏㄨㄛˊ huo
ㄏㄨㄛˋ huo
ㄏㄨㄛ˙ huo
ㄏㄨㄜˋ hue
ㄏㄨㄞˊ huai
ㄏㄨㄞˋ huai
ㄏㄨㄞ˙ huai
ㄏㄨㄟ hui
ㄏㄨㄟˇ hui
ㄏㄨㄟˊ hui
ㄏㄨㄟˋ hui
ㄏㄨㄢ huan
ㄏㄨㄢˇ huan
ㄏㄨㄢˊ huan
ㄏㄨㄢˋ huan
ㄏㄨㄣ hun
ㄏㄨㄣˇ hun
ㄏㄨㄣˊ hun
ㄏㄨㄣˋ hun
ㄏㄨㄤ huang
ㄏㄨㄤˇ huang
ㄏㄨㄤˊ huang
ㄏㄨㄤˋ huang
ㄏㄨㄤ˙ huang
ㄏㄨㄥ hong
ㄏㄨㄥˇ hong
ㄏㄨㄥˊ hong
ㄏㄨㄥˋ hong
ㄐ ji
ㄐㄡˊ jou
ㄐㄧ ji
ㄐㄧˇ ji
ㄐㄧˊ ji
ㄐㄧˊ ji
ㄐㄧˋ ji
ㄐㄧㄚ jia
ㄐㄧㄚˇ jia
ㄐㄧㄚˊ jia
ㄐㄧㄚˋ jia
ㄐㄧㄝ jie
ㄐㄧㄝˇ jie
ㄐㄧㄝˊ jie
ㄐㄧㄝˋ jie
ㄐㄧㄝ˙ jie
ㄐㄧㄠ jiao
ㄐㄧㄠˇ jiao
ㄐㄧㄠˊ jiao
ㄐㄧㄠˋ jiao
ㄐㄧㄡ jiu
ㄐㄧㄡˇ jiu
ㄐㄧㄡˋ jiu
ㄐㄧㄢ jian
ㄐㄧㄢˇ jian
ㄐㄧㄢˊ jian
ㄐㄧㄢˋ jian
ㄐㄧㄣ jin
ㄐㄧㄣˇ jin
ㄐㄧㄣˋ jin
ㄐㄧㄤ jiang
ㄐㄧㄤˇ jiang
ㄐㄧㄤˊ jiang
ㄐㄧㄤˋ jiang
ㄐㄧㄥ jing
ㄐㄧㄥˇ jing
ㄐㄧㄥˋ jing
ㄐㄩ ju
ㄐㄩˇ ju
ㄐㄩˊ ju
ㄐㄩˋ ju
ㄐㄩㄝ jue
ㄐㄩㄝˇ jue
ㄐㄩㄝˊ jue
ㄐㄩㄝˋ jue
ㄐㄩㄢ juan
ㄐㄩㄢˇ juan
ㄐㄩㄢˋ juan
ㄐㄩㄣ jun
ㄐㄩㄣˇ jun
ㄐㄩㄣˊ jun
ㄐㄩㄣˋ jun
ㄐㄩㄥ jiong
ㄐㄩㄥˇ jiong
ㄐㄩㄥˋ jiong
ㄑ qi
ㄑ˙ q
ㄑㄧ qi
ㄑㄧ qi
ㄑㄧˇ qi
ㄑㄧˊ qi
ㄑㄧˋ qi
ㄑㄧㄚ qia
ㄑㄧㄚˇ qia
ㄑㄧㄚˊ qia
ㄑㄧㄚˋ qia
ㄑㄧㄝ qie
ㄑㄧㄝˇ qie
ㄑㄧㄝˊ qie
ㄑㄧㄝˋ qie
ㄑㄧㄠ qiao
ㄑㄧㄠˇ qiao
ㄑㄧㄠˊ qiao
ㄑㄧㄠˋ qiao
ㄑㄧㄡ qiu
ㄑㄧㄡˇ qiu
ㄑㄧㄡˊ qiu
ㄑㄧㄡˋ qiu
ㄑㄧㄢ qian
ㄑㄧㄢˇ qian
ㄑㄧㄢˊ qian
ㄑㄧㄢˋ qian
ㄑㄧㄣ qin
ㄑㄧㄣˇ qin
ㄑㄧㄣˊ qin
ㄑㄧㄣˋ qin
ㄑㄧㄤ qiang
ㄑㄧㄤˇ qiang
ㄑㄧㄤˊ qiang
ㄑㄧㄤˋ qiang
ㄑㄧㄥ qing
ㄑㄧㄥˇ qing
ㄑㄧㄥˊ qing
ㄑㄧㄥˋ qing
ㄑㄩ qu
ㄑㄩˇ qu
ㄑㄩˊ qu
ㄑㄩˋ qu
ㄑㄩㄝ que
ㄑㄩㄝˊ que
ㄑㄩㄝˋ que
ㄑㄩㄢ quan
ㄑㄩㄢˇ quan
ㄑㄩㄢˊ quan
ㄑㄩㄢˋ quan
ㄑㄩㄣ qun
ㄑㄩㄣˇ qun
ㄑㄩㄣˊ qun
ㄑㄩㄣˋ qun
ㄑㄩㄥ qiong
ㄑㄩㄥˇ qiong
ㄑㄩㄥˊ qiong
ㄑㄩㄥˋ qiong
ㄒ xi
ㄒㄡˋ xou
ㄒㄢˊ xan
ㄒㄥˋ xeng
ㄒㄧ xi
ㄒㄧˇ xi
ㄒㄧˊ xi
ㄒㄧˋ xi
ㄒㄧㄚ xia
ㄒㄧㄚˇ xia
ㄒㄧㄚˊ xia
ㄒㄧㄚˋ xia
ㄒㄧㄝ xie
ㄒㄧㄝˇ xie
ㄒㄧㄝˊ xie
ㄒㄧㄝˋ xie
ㄒㄧㄠ xiao
ㄒㄧㄠˇ xiao
ㄒㄧㄠˊ xiao
ㄒㄧㄠˋ xiao
ㄒㄧㄡ xiu
ㄒㄧㄡˇ xiu
ㄒㄧㄡˊ xiu
ㄒㄧㄡˋ xiu
ㄒㄧㄢ xian
ㄒㄧㄢˇ xian
ㄒㄧㄢˊ xian
ㄒㄧㄢˋ xian
ㄒㄧㄣ xin
ㄒㄧㄣˇ xin
ㄒㄧㄣˊ xin
ㄒㄧㄣˋ xin
ㄒㄧㄤ xiang
ㄒㄧㄤˇ xiang
ㄒㄧㄤˊ xiang
ㄒㄧㄤˋ xiang
ㄒㄧㄥ xing
ㄒㄧㄥˇ xing
ㄒㄧㄥˊ xing
ㄒㄧㄥˋ xing
ㄒㄨㄢˊ xuan
ㄒㄩ xu
ㄒㄩˇ xu
ㄒㄩˊ xu
ㄒㄩˋ xu
ㄒㄩㄝ xue
ㄒㄩㄝˇ xue
ㄒㄩㄝˊ xue
ㄒㄩㄝˋ xue
ㄒㄩㄢ xuan
ㄒㄩㄢˇ xuan
ㄒㄩㄢˊ xuan
ㄒㄩㄢˋ xuan
ㄒㄩㄣ xun
ㄒㄩㄣˇ xun
ㄒㄩㄣˊ xun
ㄒㄩㄣˋ xun
ㄒㄩㄥ xiong
ㄒㄩㄥˇ xiong
ㄒㄩㄥˊ xiong
ㄒㄩㄥˋ xiong
ㄓ zhi
ㄓˇ zh
ㄓˊ zh
ㄓˋ zh
ㄓㄚ zha
ㄓㄚˇ zha
ㄓㄚˊ zha
ㄓㄚˋ zha
ㄓㄜ zhe
ㄓㄜˇ zhe
ㄓㄜˊ zhe
ㄓㄜˋ zhe
ㄓㄜ˙ zhe
ㄓㄞ zhai
ㄓㄞˇ zhai
ㄓㄞˊ zhai
ㄓㄞˋ zhai
ㄓㄟˋ zhei
ㄓㄠ zhao
ㄓㄠˇ zhao
ㄓㄠˊ zhao
ㄓㄠˋ zhao
ㄓㄡ zhou
ㄓㄡˇ zhou
ㄓㄡˊ zhou
ㄓㄡˋ zhou
ㄓㄢ zhan
ㄓㄢˇ zhan
ㄓㄢˋ zhan
ㄓㄣ zhen
ㄓㄣˇ zhen
ㄓㄣˊ zhen
ㄓㄣˋ zhen
ㄓㄤ zhang
ㄓㄤˇ zhang
ㄓㄤˋ zhang
ㄓㄥ zheng
ㄓㄥˇ zheng
ㄓㄥˋ zheng
